Base value:     | Encoded:                                                                                     | Decoded:        | Result:
=============== | ===========                                                                                  | =============== | ==========
 ==> From lecture:
             73 | 00010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              73 |     OK  
 ==> Initial integers (0-32):
              0 | 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               0 |     OK  
              1 | 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               1 |     OK  
              2 | 01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               2 |     OK  
              3 | 00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               3 |     OK  
              4 | 10100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               4 |     OK  
              5 | 00010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               5 |     OK  
              6 | 10010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               6 |     OK  
              7 | 01010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               7 |     OK  
              8 | 00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               8 |     OK  
              9 | 10001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |               9 |     OK  
             10 | 01001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              10 |     OK  
             11 | 00101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              11 |     OK  
             12 | 10101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              12 |     OK  
             13 | 00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              13 |     OK  
             14 | 10000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              14 |     OK  
             15 | 01000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              15 |     OK  
             16 | 00100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              16 |     OK  
             17 | 10100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              17 |     OK  
             18 | 00010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              18 |     OK  
             19 | 10010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              19 |     OK  
             20 | 01010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              20 |     OK  
             21 | 00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              21 |     OK  
             22 | 10000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              22 |     OK  
             23 | 01000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              23 |     OK  
             24 | 00100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              24 |     OK  
             25 | 10100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              25 |     OK  
             26 | 00010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              26 |     OK  
             27 | 10010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              27 |     OK  
             28 | 01010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              28 |     OK  
             29 | 00001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              29 |     OK  
             30 | 10001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              30 |     OK  
             31 | 01001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              31 |     OK  
             32 | 00101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000 |              32 |     OK  
 ==> Fibonacci numbers (F_60 - F_70):
  4052739537881 | 00000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000 |   4052739537881 |     OK  
  6557470319842 | 00000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000 |   6557470319842 |     OK  
 10610209857723 | 00000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000 |  10610209857723 |     OK  
 17167680177565 | 00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000 |  17167680177565 |     OK  
 27777890035288 | 00000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000 |  27777890035288 |     OK  
 44945570212853 | 00000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000 |  44945570212853 |     OK  
 72723460248141 | 00000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000 |  72723460248141 |     OK  
117669030460994 | 00000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000 | 117669030460994 |     OK  
190392490709135 | 00000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000 | 190392490709135 |     OK  
308061521170129 | 00000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000 | 308061521170129 |     OK  
498454011879264 | 00000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000 | 498454011879264 |     OK  
 ==> Powers of ten (10^2 - 10^14):
            100 | 00101000010000000000000000000000000000000000000000000000000000000000000000000000000000000000 |             100 |     OK  
           1000 | 00000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000 |            1000 |     OK  
